id	id2	correlation
TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	TARA_188_DCM_0.22-3_G_scaffold6854_1_gene7478	0.337307376
TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	0.332169647
TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494	0.328273636
TARA_196_SRF_0.22-3_G_scaffold167694_1_gene185363	TARA_206_SRF_lt-0.22_G_scaffold1112_3_gene5143	0.325695641
TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	0.325447582
TARA_141_SRF_0.22-3_G_scaffold252758_1_gene219695	TARA_146_SRF_0.22-3_G_C15427777_1_gene470766	0.319070369
TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	0.318688244
TARA_066_DCM_lt-0.22_G_C3640627_1_gene77046	TARA_067_SRF_lt-0.22_G_C2526840_1_gene145192	0.313474774
TARA_082_DCM_0.22-3_G_scaffold105827_1_gene101588	TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	0.309818067
TARA_173_DCM_0.22-3_G_scaffold115250_1_gene123507	TARA_191_SRF_lt-0.22_G_scaffold196909_1_gene260355	0.309249341
TARA_065_DCM_lt-0.22_G_C5096939_1_gene130925	TARA_078_DCM_0.22-0.45_G_scaffold189671_1_gene148269	0.304402589
TARA_149_SRF_0.22-3_G_scaffold163273_1_gene140816	TARA_149_SRF_0.22-3_G_scaffold218961_1_gene206753	0.303441577
TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	TARA_206_SRF_lt-0.22_G_scaffold1112_3_gene5143	0.302963109
TARA_149_SRF_0.22-3_G_scaffold218961_1_gene206753	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	0.301622033
TARA_038_DCM_0.22-1.6_G_scaffold280761_1_gene241415	TARA_064_DCM_0.1-0.22_G_scaffold110164_1_gene107109	0.301112086
TARA_189_DCM_0.22-3_G_scaffold155112_1_gene187540	TARA_205_SRF_0.22-3_G_C10834577_1_gene379211	0.298052168
TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	0.298016667
TARA_067_SRF_lt-0.22_G_C2526840_1_gene145192	TARA_133_DCM_0.22-3_G_C17443804_1_gene444883	0.297163367
TARA_067_SRF_0.22-0.45_G_scaffold9433_1_gene8781	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	0.29505711
TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_149_SRF_0.22-3_G_scaffold218962_1_gene206754	0.294101327
TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	TARA_196_SRF_0.22-3_G_scaffold167694_1_gene185363	0.291774988
TARA_078_DCM_0.22-0.45_G_scaffold189671_1_gene148269	TARA_150_SRF_0.22-3_G_C22082902_1_gene583609	0.289938131
TARA_152_MIX_0.22-3_G_scaffold179581_1_gene152542	TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	0.289352114
TARA_189_DCM_lt-0.22_G_scaffold6954_3_gene25779	TARA_201_SRF_0.22-3_G_scaffold266223_1_gene353135	0.288313378
TARA_064_DCM_0.22-3_G_scaffold295120_2_gene248839	TARA_149_SRF_0.22-3_G_scaffold218961_1_gene206753	0.286836922
TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	TARA_210_SRF_0.22-3_G_scaffold21461_1_gene17795	0.286777351
TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold319742_1_gene363655	0.284236372
TARA_067_SRF_0.45-0.8_G_scaffold77656_1_gene78812	TARA_210_SRF_lt-0.22_G_scaffold9078_2_gene48755	0.28407308
TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold218962_1_gene206754	0.283285433
TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	TARA_205_SRF_0.22-3_G_scaffold19860_1_gene24432	0.282451058
TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	0.280782387
TARA_145_SRF_0.22-3_G_scaffold319742_1_gene363655	TARA_149_SRF_0.22-3_G_scaffold163273_1_gene140816	0.279846689
TARA_173_DCM_0.22-3_G_scaffold110203_1_gene118285	TARA_175_SRF_0.22-3_G_scaffold78409_1_gene83052	0.276964571
TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_158_DCM_0.22-3_G_scaffold18046_1_gene14691	0.275339007
TARA_180_SRF_0.22-3_G_scaffold53713_1_gene86219	TARA_189_DCM_0.22-3_G_scaffold155112_1_gene187540	0.275212198
TARA_158_DCM_0.22-3_G_scaffold206820_1_gene176947	TARA_158_MES_0.22-3_G_scaffold181224_1_gene175183	0.274107576
TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	0.273978815
TARA_064_DCM_0.1-0.22_G_scaffold110164_1_gene107109	TARA_141_SRF_0.22-3_G_scaffold252758_1_gene219695	0.272418678
TARA_032_DCM_0.22-1.6_G_C14529078_1_gene362201	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	0.272082776
TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	TARA_158_DCM_0.22-3_G_scaffold102364_1_gene84925	0.269282579
TARA_067_SRF_0.22-0.45_G_scaffold68608_2_gene65086	TARA_067_SRF_0.22-0.45_G_scaffold9433_1_gene8781	0.267778635
TARA_189_DCM_lt-0.22_G_scaffold6954_3_gene25779	TARA_191_SRF_lt-0.22_G_scaffold196909_1_gene260355	0.26521161
